'Elapsed time','MLII','V5'
'2:04.578',-0.350,-0.340
'2:04.581',-0.330,-0.320
'2:04.583',-0.315,-0.310
'2:04.586',-0.305,-0.300
'2:04.589',-0.305,-0.305
'2:04.592',-0.295,-0.295
'2:04.594',-0.285,-0.270
'2:04.597',-0.270,-0.260
'2:04.600',-0.270,-0.255
'2:04.603',-0.280,-0.260
'2:04.606',-0.270,-0.255
'2:04.608',-0.285,-0.240
'2:04.611',-0.275,-0.245
'2:04.614',-0.265,-0.225
'2:04.617',-0.255,-0.225
'2:04.619',-0.265,-0.230
'2:04.622',-0.270,-0.230
'2:04.625',-0.265,-0.235
'2:04.628',-0.260,-0.230
'2:04.631',-0.265,-0.215
'2:04.633',-0.255,-0.225
'2:04.636',-0.260,-0.235
'2:04.639',-0.260,-0.245
'2:04.642',-0.275,-0.245
'2:04.644',-0.275,-0.230
'2:04.647',-0.270,-0.215
'2:04.650',-0.255,-0.225
'2:04.653',-0.280,-0.220
'2:04.656',-0.285,-0.230
'2:04.658',-0.295,-0.230
'2:04.661',-0.270,-0.230
'2:04.664',-0.260,-0.210
'2:04.667',-0.255,-0.215
'2:04.669',-0.270,-0.225
'2:04.672',-0.275,-0.235
'2:04.675',-0.280,-0.245
'2:04.678',-0.260,-0.235
'2:04.681',-0.260,-0.230
'2:04.683',-0.265,-0.235
'2:04.686',-0.275,-0.235
'2:04.689',-0.285,-0.240
'2:04.692',-0.290,-0.245
'2:04.694',-0.285,-0.235
'2:04.697',-0.280,-0.235
'2:04.700',-0.285,-0.230
'2:04.703',-0.285,-0.235
'2:04.706',-0.295,-0.235
'2:04.708',-0.300,-0.230
'2:04.711',-0.295,-0.225
'2:04.714',-0.290,-0.230
'2:04.717',-0.300,-0.235
'2:04.719',-0.305,-0.255
'2:04.722',-0.320,-0.270
'2:04.725',-0.325,-0.260
'2:04.728',-0.320,-0.260
'2:04.731',-0.310,-0.250
'2:04.733',-0.315,-0.240
'2:04.736',-0.310,-0.235
'2:04.739',-0.305,-0.245
'2:04.742',-0.305,-0.250
'2:04.744',-0.305,-0.240
'2:04.747',-0.305,-0.245
'2:04.750',-0.305,-0.260
'2:04.753',-0.305,-0.260
'2:04.756',-0.315,-0.265
'2:04.758',-0.315,-0.270
'2:04.761',-0.305,-0.260
'2:04.764',-0.300,-0.250
'2:04.767',-0.300,-0.255
'2:04.769',-0.320,-0.275
'2:04.772',-0.335,-0.275
'2:04.775',-0.330,-0.270
'2:04.778',-0.340,-0.265
'2:04.781',-0.320,-0.250
'2:04.783',-0.310,-0.260
'2:04.786',-0.335,-0.260
'2:04.789',-0.335,-0.265
'2:04.792',-0.350,-0.270
'2:04.794',-0.335,-0.255
'2:04.797',-0.325,-0.250
'2:04.800',-0.330,-0.255
'2:04.803',-0.325,-0.255
'2:04.806',-0.330,-0.265
'2:04.808',-0.335,-0.265
'2:04.811',-0.330,-0.250
'2:04.814',-0.315,-0.250
'2:04.817',-0.310,-0.260
'2:04.819',-0.305,-0.270
'2:04.822',-0.320,-0.280
'2:04.825',-0.335,-0.275
'2:04.828',-0.330,-0.260
'2:04.831',-0.305,-0.245
'2:04.833',-0.305,-0.250
'2:04.836',-0.305,-0.260
'2:04.839',-0.320,-0.265
'2:04.842',-0.330,-0.265
'2:04.844',-0.315,-0.260
'2:04.847',-0.320,-0.245
'2:04.850',-0.315,-0.250
'2:04.853',-0.325,-0.245
'2:04.856',-0.325,-0.255
'2:04.858',-0.330,-0.255
'2:04.861',-0.305,-0.255
'2:04.864',-0.300,-0.250
'2:04.867',-0.295,-0.250
'2:04.869',-0.285,-0.260
'2:04.872',-0.270,-0.260
'2:04.875',-0.280,-0.250
'2:04.878',-0.270,-0.245
'2:04.881',-0.260,-0.230
'2:04.883',-0.255,-0.235
'2:04.886',-0.260,-0.240
'2:04.889',-0.250,-0.250
'2:04.892',-0.250,-0.245
'2:04.894',-0.240,-0.225
'2:04.897',-0.225,-0.205
'2:04.900',-0.210,-0.220
'2:04.903',-0.205,-0.220
'2:04.906',-0.215,-0.230
'2:04.908',-0.220,-0.240
'2:04.911',-0.220,-0.215
'2:04.914',-0.215,-0.205
'2:04.917',-0.240,-0.210
'2:04.919',-0.250,-0.195
'2:04.922',-0.260,-0.205
'2:04.925',-0.240,-0.200
'2:04.928',-0.240,-0.200
'2:04.931',-0.245,-0.195
'2:04.933',-0.245,-0.195
'2:04.936',-0.235,-0.200
'2:04.939',-0.225,-0.220
'2:04.942',-0.220,-0.235
'2:04.944',-0.215,-0.230
'2:04.947',-0.240,-0.225
'2:04.950',-0.250,-0.235
'2:04.953',-0.270,-0.245
'2:04.956',-0.295,-0.260
'2:04.958',-0.315,-0.255
'2:04.961',-0.340,-0.245
'2:04.964',-0.335,-0.225
'2:04.967',-0.335,-0.245
'2:04.969',-0.345,-0.250
'2:04.972',-0.345,-0.270
'2:04.975',-0.355,-0.270
'2:04.978',-0.345,-0.255
'2:04.981',-0.330,-0.245
'2:04.983',-0.335,-0.260
'2:04.986',-0.345,-0.260
'2:04.989',-0.360,-0.260
'2:04.992',-0.355,-0.255
'2:04.994',-0.355,-0.255
'2:04.997',-0.340,-0.260
'2:05.000',-0.340,-0.260
'2:05.003',-0.335,-0.265
'2:05.006',-0.340,-0.260
'2:05.008',-0.360,-0.280
'2:05.011',-0.350,-0.260
'2:05.014',-0.340,-0.255
'2:05.017',-0.345,-0.250
'2:05.019',-0.340,-0.265
'2:05.022',-0.350,-0.270
'2:05.025',-0.360,-0.270
'2:05.028',-0.360,-0.265
'2:05.031',-0.350,-0.260
'2:05.033',-0.350,-0.270
'2:05.036',-0.350,-0.285
'2:05.039',-0.370,-0.305
'2:05.042',-0.405,-0.340
'2:05.044',-0.435,-0.360
'2:05.047',-0.455,-0.370
'2:05.050',-0.470,-0.390
'2:05.053',-0.520,-0.385
'2:05.056',-0.565,-0.310
'2:05.058',-0.575,-0.205
'2:05.061',-0.500,-0.110
'2:05.064',-0.385,-0.020
'2:05.067',-0.245,0.040
'2:05.069',-0.100,0.110
'2:05.072',0.105,0.205
'2:05.075',0.350,0.325
'2:05.078',0.595,0.415
'2:05.081',0.780,0.420
'2:05.083',0.855,0.210
'2:05.086',0.760,-0.090
'2:05.089',0.510,-0.335
'2:05.092',0.115,-0.415
'2:05.094',-0.215,-0.380
'2:05.097',-0.400,-0.325
'2:05.100',-0.475,-0.305
'2:05.103',-0.485,-0.315
'2:05.106',-0.450,-0.310
'2:05.108',-0.420,-0.305
'2:05.111',-0.405,-0.290
'2:05.114',-0.390,-0.285
'2:05.117',-0.395,-0.290
'2:05.119',-0.395,-0.310
'2:05.122',-0.385,-0.305
'2:05.125',-0.390,-0.305
'2:05.128',-0.400,-0.300
'2:05.131',-0.400,-0.285
'2:05.133',-0.390,-0.295
'2:05.136',-0.395,-0.305
'2:05.139',-0.400,-0.315
'2:05.142',-0.415,-0.310
'2:05.144',-0.390,-0.305
'2:05.147',-0.385,-0.285
'2:05.150',-0.375,-0.290
'2:05.153',-0.380,-0.305
'2:05.156',-0.395,-0.310
'2:05.158',-0.410,-0.310
'2:05.161',-0.410,-0.295
'2:05.164',-0.405,-0.290
'2:05.167',-0.395,-0.300
'2:05.169',-0.390,-0.315
'2:05.172',-0.400,-0.325
'2:05.175',-0.420,-0.315
'2:05.178',-0.410,-0.310
'2:05.181',-0.400,-0.285
'2:05.183',-0.395,-0.295
'2:05.186',-0.405,-0.300
'2:05.189',-0.410,-0.310
'2:05.192',-0.415,-0.315
'2:05.194',-0.410,-0.310
'2:05.197',-0.405,-0.300
'2:05.200',-0.400,-0.300
'2:05.203',-0.395,-0.310
'2:05.206',-0.415,-0.305
'2:05.208',-0.415,-0.310
'2:05.211',-0.410,-0.300
'2:05.214',-0.410,-0.305
'2:05.217',-0.400,-0.295
'2:05.219',-0.395,-0.315
'2:05.222',-0.415,-0.305
'2:05.225',-0.420,-0.305
'2:05.228',-0.410,-0.295
'2:05.231',-0.400,-0.275
'2:05.233',-0.390,-0.295
'2:05.236',-0.400,-0.295
'2:05.239',-0.410,-0.310
'2:05.242',-0.410,-0.315
'2:05.244',-0.400,-0.305
'2:05.247',-0.395,-0.295
'2:05.250',-0.390,-0.300
'2:05.253',-0.395,-0.295
'2:05.256',-0.405,-0.315
'2:05.258',-0.400,-0.310
'2:05.261',-0.415,-0.305
'2:05.264',-0.410,-0.295
'2:05.267',-0.405,-0.290
'2:05.269',-0.395,-0.305
'2:05.272',-0.400,-0.320
'2:05.275',-0.410,-0.330
'2:05.278',-0.410,-0.320
'2:05.281',-0.405,-0.310
'2:05.283',-0.390,-0.305
'2:05.286',-0.395,-0.315
'2:05.289',-0.400,-0.320
'2:05.292',-0.400,-0.330
'2:05.294',-0.400,-0.330
'2:05.297',-0.405,-0.315
'2:05.300',-0.405,-0.330
'2:05.303',-0.415,-0.340
'2:05.306',-0.415,-0.350
'2:05.308',-0.420,-0.370
'2:05.311',-0.420,-0.345
'2:05.314',-0.415,-0.350
'2:05.317',-0.400,-0.355
'2:05.319',-0.415,-0.370
'2:05.322',-0.425,-0.390
'2:05.325',-0.440,-0.385
'2:05.328',-0.425,-0.375
'2:05.331',-0.410,-0.385
'2:05.333',-0.415,-0.400
'2:05.336',-0.420,-0.395
'2:05.339',-0.425,-0.415
'2:05.342',-0.435,-0.420
'2:05.344',-0.440,-0.420
'2:05.347',-0.435,-0.405
'2:05.350',-0.430,-0.415
'2:05.353',-0.440,-0.420
'2:05.356',-0.440,-0.435
'2:05.358',-0.455,-0.445
'2:05.361',-0.450,-0.440
'2:05.364',-0.455,-0.430
'2:05.367',-0.455,-0.420
'2:05.369',-0.445,-0.415
'2:05.372',-0.455,-0.415
'2:05.375',-0.455,-0.405
'2:05.378',-0.435,-0.380
'2:05.381',-0.415,-0.370
'2:05.383',-0.415,-0.360
'2:05.386',-0.390,-0.355
'2:05.389',-0.400,-0.350
'2:05.392',-0.405,-0.345
'2:05.394',-0.395,-0.315
'2:05.397',-0.375,-0.310
'2:05.400',-0.355,-0.300
'2:05.403',-0.345,-0.290
'2:05.406',-0.345,-0.300
'2:05.408',-0.340,-0.295
'2:05.411',-0.330,-0.285
'2:05.414',-0.315,-0.265
'2:05.417',-0.310,-0.260
'2:05.419',-0.335,-0.255
'2:05.422',-0.320,-0.270
'2:05.425',-0.340,-0.275
'2:05.428',-0.320,-0.270
'2:05.431',-0.320,-0.260
'2:05.433',-0.315,-0.255
'2:05.436',-0.295,-0.250
'2:05.439',-0.305,-0.255
'2:05.442',-0.310,-0.250
'2:05.444',-0.295,-0.240
'2:05.447',-0.285,-0.225
'2:05.450',-0.290,-0.245
'2:05.453',-0.295,-0.260
'2:05.456',-0.310,-0.260
'2:05.458',-0.310,-0.260
'2:05.461',-0.320,-0.255
'2:05.464',-0.305,-0.235
'2:05.467',-0.300,-0.260
'2:05.469',-0.305,-0.260
'2:05.472',-0.315,-0.265
'2:05.475',-0.330,-0.265
'2:05.478',-0.325,-0.270
'2:05.481',-0.320,-0.245
'2:05.483',-0.310,-0.265
'2:05.486',-0.305,-0.275
'2:05.489',-0.320,-0.280
'2:05.492',-0.330,-0.275
'2:05.494',-0.325,-0.260
'2:05.497',-0.325,-0.240
'2:05.500',-0.315,-0.255
'2:05.503',-0.325,-0.270
'2:05.506',-0.330,-0.285
'2:05.508',-0.330,-0.290
'2:05.511',-0.325,-0.270
'2:05.514',-0.310,-0.260
'2:05.517',-0.310,-0.265
'2:05.519',-0.310,-0.285
'2:05.522',-0.325,-0.295
'2:05.525',-0.345,-0.295
'2:05.528',-0.335,-0.295
'2:05.531',-0.345,-0.285
'2:05.533',-0.345,-0.280
'2:05.536',-0.345,-0.275
'2:05.539',-0.345,-0.280
'2:05.542',-0.350,-0.285
'2:05.544',-0.335,-0.280
'2:05.547',-0.330,-0.280
'2:05.550',-0.340,-0.275
'2:05.553',-0.345,-0.290
'2:05.556',-0.355,-0.290
'2:05.558',-0.355,-0.300
'2:05.561',-0.355,-0.290
'2:05.564',-0.345,-0.275
'2:05.567',-0.355,-0.295
'2:05.569',-0.355,-0.295
'2:05.572',-0.350,-0.300
'2:05.575',-0.370,-0.295
'2:05.578',-0.375,-0.290
'2:05.581',-0.350,-0.285
'2:05.583',-0.345,-0.295
'2:05.586',-0.355,-0.295
'2:05.589',-0.355,-0.300
'2:05.592',-0.365,-0.310
'2:05.594',-0.360,-0.295
'2:05.597',-0.355,-0.280
'2:05.600',-0.355,-0.290
'2:05.603',-0.360,-0.285
'2:05.606',-0.360,-0.295
'2:05.608',-0.370,-0.320
'2:05.611',-0.370,-0.290
'2:05.614',-0.355,-0.285
'2:05.617',-0.355,-0.285
'2:05.619',-0.370,-0.295
'2:05.622',-0.360,-0.295
'2:05.625',-0.365,-0.295
'2:05.628',-0.370,-0.285
'2:05.631',-0.350,-0.275
'2:05.633',-0.350,-0.285
'2:05.636',-0.350,-0.290
'2:05.639',-0.360,-0.295
'2:05.642',-0.365,-0.305
'2:05.644',-0.370,-0.295
'2:05.647',-0.360,-0.295
'2:05.650',-0.355,-0.290
'2:05.653',-0.345,-0.300
'2:05.656',-0.360,-0.305
'2:05.658',-0.370,-0.305
'2:05.661',-0.375,-0.290
'2:05.664',-0.365,-0.290
'2:05.667',-0.350,-0.305
'2:05.669',-0.345,-0.310
'2:05.672',-0.350,-0.320
'2:05.675',-0.365,-0.325
'2:05.678',-0.350,-0.305
'2:05.681',-0.345,-0.295
'2:05.683',-0.345,-0.300
'2:05.686',-0.320,-0.310
'2:05.689',-0.320,-0.310
'2:05.692',-0.315,-0.305
'2:05.694',-0.310,-0.300
'2:05.697',-0.295,-0.290
'2:05.700',-0.295,-0.290
'2:05.703',-0.295,-0.295
'2:05.706',-0.290,-0.295
'2:05.708',-0.290,-0.285
'2:05.711',-0.275,-0.275
'2:05.714',-0.270,-0.265
'2:05.717',-0.250,-0.265
'2:05.719',-0.255,-0.275
'2:05.722',-0.275,-0.275
'2:05.725',-0.280,-0.270
'2:05.728',-0.275,-0.270
'2:05.731',-0.275,-0.240
'2:05.733',-0.265,-0.245
'2:05.736',-0.275,-0.245
'2:05.739',-0.275,-0.260
'2:05.742',-0.280,-0.260
'2:05.744',-0.285,-0.250
'2:05.747',-0.290,-0.240
'2:05.750',-0.280,-0.240
'2:05.753',-0.265,-0.260
'2:05.756',-0.270,-0.275
'2:05.758',-0.260,-0.280
'2:05.761',-0.275,-0.280
'2:05.764',-0.285,-0.270
'2:05.767',-0.300,-0.265
'2:05.769',-0.325,-0.275
'2:05.772',-0.350,-0.275
'2:05.775',-0.375,-0.290
'2:05.778',-0.370,-0.290
'2:05.781',-0.375,-0.290
'2:05.783',-0.370,-0.300
'2:05.786',-0.390,-0.295
'2:05.789',-0.390,-0.310
'2:05.792',-0.410,-0.300
'2:05.794',-0.395,-0.295
'2:05.797',-0.380,-0.285
'2:05.800',-0.370,-0.295
'2:05.803',-0.385,-0.300
'2:05.806',-0.385,-0.305
'2:05.808',-0.400,-0.310
'2:05.811',-0.390,-0.290
'2:05.814',-0.390,-0.285
'2:05.817',-0.375,-0.290
'2:05.819',-0.385,-0.290
'2:05.822',-0.385,-0.310
'2:05.825',-0.395,-0.310
'2:05.828',-0.390,-0.295
'2:05.831',-0.380,-0.290
'2:05.833',-0.375,-0.290
'2:05.836',-0.375,-0.290
'2:05.839',-0.385,-0.290
'2:05.842',-0.390,-0.295
'2:05.844',-0.390,-0.295
'2:05.847',-0.385,-0.310
'2:05.850',-0.400,-0.335
'2:05.853',-0.440,-0.350
'2:05.856',-0.470,-0.370
'2:05.858',-0.500,-0.395
'2:05.861',-0.495,-0.410
'2:05.864',-0.505,-0.415
'2:05.867',-0.550,-0.390
'2:05.869',-0.595,-0.345
'2:05.872',-0.595,-0.255
'2:05.875',-0.525,-0.135
'2:05.878',-0.405,-0.035
'2:05.881',-0.280,0.025
'2:05.883',-0.145,0.085
'2:05.886',0.035,0.175
'2:05.889',0.275,0.275
'2:05.892',0.525,0.390
'2:05.894',0.745,0.450
'2:05.897',0.850,0.335
'2:05.900',0.815,0.030
'2:05.903',0.585,-0.290
'2:05.906',0.205,-0.450
'2:05.908',-0.175,-0.445
'2:05.911',-0.395,-0.370
'2:05.914',-0.480,-0.325
'2:05.917',-0.490,-0.320
'2:05.919',-0.470,-0.305
'2:05.922',-0.430,-0.310
'2:05.925',-0.425,-0.325
'2:05.928',-0.410,-0.310
'2:05.931',-0.410,-0.305
'2:05.933',-0.395,-0.300
'2:05.936',-0.400,-0.295
'2:05.939',-0.400,-0.310
'2:05.942',-0.415,-0.310
'2:05.944',-0.405,-0.305
'2:05.947',-0.405,-0.280
'2:05.950',-0.405,-0.280
'2:05.953',-0.410,-0.305
'2:05.956',-0.415,-0.310
'2:05.958',-0.420,-0.300
'2:05.961',-0.410,-0.285
'2:05.964',-0.410,-0.285
'2:05.967',-0.405,-0.295
'2:05.969',-0.395,-0.300
'2:05.972',-0.400,-0.315
'2:05.975',-0.410,-0.305
'2:05.978',-0.400,-0.290
'2:05.981',-0.405,-0.275
'2:05.983',-0.400,-0.285
'2:05.986',-0.400,-0.275
'2:05.989',-0.400,-0.290
'2:05.992',-0.410,-0.285
'2:05.994',-0.405,-0.275
'2:05.997',-0.395,-0.275
'2:06.000',-0.385,-0.280
'2:06.003',-0.405,-0.290
'2:06.006',-0.410,-0.290
'2:06.008',-0.415,-0.300
'2:06.011',-0.410,-0.290
'2:06.014',-0.400,-0.270
'2:06.017',-0.395,-0.270
'2:06.019',-0.395,-0.265
'2:06.022',-0.395,-0.295
'2:06.025',-0.410,-0.310
'2:06.028',-0.405,-0.295
'2:06.031',-0.395,-0.275
'2:06.033',-0.400,-0.275
'2:06.036',-0.390,-0.280
'2:06.039',-0.400,-0.285
'2:06.042',-0.415,-0.290
'2:06.044',-0.410,-0.285
'2:06.047',-0.405,-0.270
'2:06.050',-0.395,-0.275
'2:06.053',-0.405,-0.295
'2:06.056',-0.410,-0.300
'2:06.058',-0.425,-0.295
'2:06.061',-0.410,-0.280
'2:06.064',-0.420,-0.270
'2:06.067',-0.410,-0.285
'2:06.069',-0.410,-0.300
'2:06.072',-0.405,-0.305
'2:06.075',-0.410,-0.310
'2:06.078',-0.405,-0.290
'2:06.081',-0.405,-0.280
'2:06.083',-0.410,-0.295
'2:06.086',-0.385,-0.295
'2:06.089',-0.400,-0.300
'2:06.092',-0.410,-0.310
'2:06.094',-0.405,-0.310
'2:06.097',-0.390,-0.295
'2:06.100',-0.390,-0.295
'2:06.103',-0.380,-0.305
'2:06.106',-0.395,-0.320
'2:06.108',-0.410,-0.320
'2:06.111',-0.405,-0.315
'2:06.114',-0.395,-0.305
'2:06.117',-0.390,-0.330
'2:06.119',-0.400,-0.325
'2:06.122',-0.395,-0.360
'2:06.125',-0.415,-0.350
'2:06.128',-0.415,-0.345
'2:06.131',-0.410,-0.340
'2:06.133',-0.405,-0.355
'2:06.136',-0.410,-0.370
'2:06.139',-0.415,-0.385
'2:06.142',-0.425,-0.395
'2:06.144',-0.420,-0.380
'2:06.147',-0.425,-0.375
'2:06.150',-0.415,-0.390
'2:06.153',-0.425,-0.400
'2:06.156',-0.425,-0.405
'2:06.158',-0.435,-0.410
'2:06.161',-0.440,-0.410
'2:06.164',-0.425,-0.415
'2:06.167',-0.425,-0.420
'2:06.169',-0.425,-0.425
'2:06.172',-0.435,-0.440
'2:06.175',-0.450,-0.430
'2:06.178',-0.450,-0.410
'2:06.181',-0.440,-0.405
'2:06.183',-0.420,-0.400
'2:06.186',-0.425,-0.405
'2:06.189',-0.430,-0.410
'2:06.192',-0.430,-0.400
'2:06.194',-0.415,-0.380
'2:06.197',-0.410,-0.355
'2:06.200',-0.390,-0.345
'2:06.203',-0.395,-0.320
'2:06.206',-0.380,-0.325
'2:06.208',-0.380,-0.315
'2:06.211',-0.360,-0.295
'2:06.214',-0.340,-0.280
'2:06.217',-0.330,-0.265
'2:06.219',-0.330,-0.265
'2:06.222',-0.320,-0.265
'2:06.225',-0.335,-0.245
'2:06.228',-0.320,-0.230
'2:06.231',-0.295,-0.230
'2:06.233',-0.290,-0.235
'2:06.236',-0.290,-0.230
'2:06.239',-0.285,-0.245
'2:06.242',-0.295,-0.230
'2:06.244',-0.285,-0.215
'2:06.247',-0.280,-0.210
'2:06.250',-0.270,-0.210
'2:06.253',-0.265,-0.210
'2:06.256',-0.265,-0.235
'2:06.258',-0.285,-0.225
'2:06.261',-0.285,-0.225
'2:06.264',-0.270,-0.205
'2:06.267',-0.270,-0.215
'2:06.269',-0.270,-0.215
'2:06.272',-0.275,-0.235
'2:06.275',-0.290,-0.230
'2:06.278',-0.280,-0.220
'2:06.281',-0.265,-0.210
'2:06.283',-0.270,-0.225
'2:06.286',-0.275,-0.220
'2:06.289',-0.285,-0.230
'2:06.292',-0.295,-0.225
'2:06.294',-0.285,-0.220
'2:06.297',-0.290,-0.220
'2:06.300',-0.275,-0.215
'2:06.303',-0.280,-0.225
'2:06.306',-0.295,-0.235
'2:06.308',-0.305,-0.240
'2:06.311',-0.290,-0.225
'2:06.314',-0.280,-0.210
'2:06.317',-0.280,-0.215
'2:06.319',-0.285,-0.230
'2:06.322',-0.290,-0.245
'2:06.325',-0.305,-0.240
'2:06.328',-0.300,-0.240
'2:06.331',-0.295,-0.220
'2:06.333',-0.280,-0.235
'2:06.336',-0.285,-0.225
'2:06.339',-0.295,-0.245
'2:06.342',-0.305,-0.250
'2:06.344',-0.290,-0.245
'2:06.347',-0.290,-0.210
'2:06.350',-0.290,-0.220
'2:06.353',-0.310,-0.235
'2:06.356',-0.320,-0.260
'2:06.358',-0.310,-0.250
'2:06.361',-0.315,-0.255
'2:06.364',-0.310,-0.225
'2:06.367',-0.310,-0.230
'2:06.369',-0.320,-0.235
'2:06.372',-0.320,-0.240
'2:06.375',-0.325,-0.240
'2:06.378',-0.310,-0.250
'2:06.381',-0.310,-0.230
'2:06.383',-0.305,-0.245
'2:06.386',-0.315,-0.255
'2:06.389',-0.320,-0.260
'2:06.392',-0.330,-0.260
'2:06.394',-0.325,-0.245
'2:06.397',-0.315,-0.230
'2:06.400',-0.315,-0.240
'2:06.403',-0.315,-0.250
'2:06.406',-0.325,-0.255
'2:06.408',-0.320,-0.260
'2:06.411',-0.325,-0.250
'2:06.414',-0.315,-0.240
'2:06.417',-0.315,-0.245
'2:06.419',-0.310,-0.240
'2:06.422',-0.320,-0.265
'2:06.425',-0.325,-0.260
'2:06.428',-0.325,-0.260
'2:06.431',-0.315,-0.245
'2:06.433',-0.310,-0.255
'2:06.436',-0.310,-0.270
'2:06.439',-0.330,-0.260
'2:06.442',-0.340,-0.265
'2:06.444',-0.330,-0.250
'2:06.447',-0.310,-0.240
'2:06.450',-0.305,-0.230
'2:06.453',-0.315,-0.255
'2:06.456',-0.325,-0.265
'2:06.458',-0.335,-0.260
'2:06.461',-0.315,-0.255
'2:06.464',-0.310,-0.245
'2:06.467',-0.305,-0.240
'2:06.469',-0.310,-0.245
'2:06.472',-0.315,-0.245
'2:06.475',-0.320,-0.255
'2:06.478',-0.310,-0.255
'2:06.481',-0.305,-0.235
'2:06.483',-0.300,-0.245
'2:06.486',-0.310,-0.255
'2:06.489',-0.315,-0.260
'2:06.492',-0.325,-0.245
'2:06.494',-0.310,-0.235
'2:06.497',-0.300,-0.235
'2:06.500',-0.295,-0.235
'2:06.503',-0.300,-0.245
'2:06.506',-0.300,-0.250
'2:06.508',-0.310,-0.255
'2:06.511',-0.295,-0.240
'2:06.514',-0.280,-0.230
'2:06.517',-0.270,-0.240
'2:06.519',-0.260,-0.250
'2:06.522',-0.255,-0.250
'2:06.525',-0.265,-0.250
'2:06.528',-0.250,-0.255
'2:06.531',-0.250,-0.235
'2:06.533',-0.225,-0.230
'2:06.536',-0.235,-0.230
'2:06.539',-0.235,-0.235
'2:06.542',-0.235,-0.235
'2:06.544',-0.230,-0.225
'2:06.547',-0.215,-0.210
'2:06.550',-0.205,-0.210
'2:06.553',-0.190,-0.220
'2:06.556',-0.210,-0.220
'2:06.558',-0.215,-0.230
'2:06.561',-0.195,-0.210
'2:06.564',-0.185,-0.200
'2:06.567',-0.195,-0.195
'2:06.569',-0.210,-0.210
'2:06.572',-0.210,-0.210
'2:06.575',-0.230,-0.200
'2:06.578',-0.215,-0.190
'2:06.581',-0.210,-0.170
'2:06.583',-0.215,-0.185
'2:06.586',-0.215,-0.200
'2:06.589',-0.220,-0.205
'2:06.592',-0.230,-0.195
'2:06.594',-0.240,-0.195
'2:06.597',-0.220,-0.175
'2:06.600',-0.195,-0.180
'2:06.603',-0.185,-0.205
'2:06.606',-0.205,-0.215
'2:06.608',-0.230,-0.220
'2:06.611',-0.255,-0.215
'2:06.614',-0.255,-0.210
'2:06.617',-0.270,-0.200
'2:06.619',-0.285,-0.225
'2:06.622',-0.295,-0.225
'2:06.625',-0.320,-0.245
'2:06.628',-0.320,-0.230
'2:06.631',-0.330,-0.230
'2:06.633',-0.325,-0.240
'2:06.636',-0.330,-0.235
'2:06.639',-0.330,-0.240
'2:06.642',-0.340,-0.240
'2:06.644',-0.330,-0.230
'2:06.647',-0.335,-0.225
'2:06.650',-0.325,-0.235
'2:06.653',-0.325,-0.255
'2:06.656',-0.340,-0.260
'2:06.658',-0.345,-0.245
'2:06.661',-0.335,-0.235
'2:06.664',-0.325,-0.225
'2:06.667',-0.330,-0.230
'2:06.669',-0.340,-0.235
'2:06.672',-0.345,-0.240
'2:06.675',-0.335,-0.255
'2:06.678',-0.345,-0.245
'2:06.681',-0.330,-0.240
'2:06.683',-0.325,-0.235
'2:06.686',-0.330,-0.245
'2:06.689',-0.340,-0.250
'2:06.692',-0.355,-0.255
'2:06.694',-0.355,-0.260
'2:06.697',-0.360,-0.265
'2:06.700',-0.360,-0.305
'2:06.703',-0.405,-0.335
'2:06.706',-0.450,-0.360
'2:06.708',-0.475,-0.385
'2:06.711',-0.475,-0.395
'2:06.714',-0.510,-0.365
'2:06.717',-0.545,-0.290
'2:06.719',-0.530,-0.175
'2:06.722',-0.445,-0.035
'2:06.725',-0.315,0.075
'2:06.728',-0.155,0.190
'2:06.731',0.005,0.315
'2:06.733',0.210,0.430
'2:06.736',0.470,0.540
'2:06.739',0.720,0.655
'2:06.742',0.870,0.695
'2:06.744',0.960,0.570
'2:06.747',0.910,0.285
'2:06.750',0.650,-0.065
'2:06.753',0.230,-0.280
'2:06.756',-0.160,-0.315
'2:06.758',-0.405,-0.285
'2:06.761',-0.475,-0.260
'2:06.764',-0.440,-0.255
'2:06.767',-0.390,-0.255
'2:06.769',-0.350,-0.255
'2:06.772',-0.355,-0.280
'2:06.775',-0.370,-0.285
'2:06.778',-0.365,-0.285
'2:06.781',-0.365,-0.260
'2:06.783',-0.360,-0.270
'2:06.786',-0.350,-0.280
'2:06.789',-0.370,-0.290
'2:06.792',-0.380,-0.300
'2:06.794',-0.375,-0.290
'2:06.797',-0.360,-0.285
'2:06.800',-0.355,-0.290
'2:06.803',-0.365,-0.285
'2:06.806',-0.375,-0.300
'2:06.808',-0.380,-0.295
'2:06.811',-0.365,-0.280
'2:06.814',-0.360,-0.280
'2:06.817',-0.360,-0.285
'2:06.819',-0.365,-0.275
'2:06.822',-0.370,-0.300
'2:06.825',-0.385,-0.300
'2:06.828',-0.380,-0.295
'2:06.831',-0.375,-0.285
'2:06.833',-0.365,-0.295
'2:06.836',-0.370,-0.300
'2:06.839',-0.390,-0.295
'2:06.842',-0.390,-0.285
'2:06.844',-0.385,-0.280
'2:06.847',-0.380,-0.270
'2:06.850',-0.370,-0.265
'2:06.853',-0.365,-0.285
'2:06.856',-0.380,-0.295
'2:06.858',-0.395,-0.290
'2:06.861',-0.385,-0.290
'2:06.864',-0.370,-0.265
'2:06.867',-0.365,-0.270
